work,plot_decile,positive_rate_per_1000,negative_rate_per_1000
The Mystery of Edwin Drood,1,6.661485511269013,2.3315199289441546
The Mystery of Edwin Drood,2,3.663817031197957,1.3322971022538026
The Mystery of Edwin Drood,3,6.217386477184412,2.8866437215499055
The Mystery of Edwin Drood,4,7.438658820917064,1.9984456533807038
The Mystery of Edwin Drood,5,2.3315199289441546,2.553569445986455
The Mystery of Edwin Drood,6,6.772510269790163,2.442544687465305
The Mystery of Edwin Drood,7,4.218940823803708,2.664594204507605
The Mystery of Edwin Drood,8,5.773287443099811,1.4433218607749527
The Mystery of Edwin Drood,9,4.996114133451759,1.8874208948595537
The Mystery of Edwin Drood,10,3.664223850766156,1.2214079502553854
Oliver Twist,1,4.918775483787457,2.2652255517442237
Oliver Twist,2,5.954307164584817,2.4593877418937287
Oliver Twist,3,6.666235195133001,1.876901171445214
Oliver Twist,4,4.271568183289108,2.9124328522425733
Oliver Twist,5,4.918775483787457,2.3946670118438935
Oliver Twist,6,7.442883955731021,3.171315772441913
Oliver Twist,7,5.242379134036632,2.9771535822924085
Oliver Twist,8,6.083748624684486,1.876901171445214
Oliver Twist,9,3.236036502491748,3.430198692641253
Oliver Twist,10,3.8187702265372168,4.53074433656958
Bleak House,1,5.720823798627002,1.4668778970838467
Bleak House,2,4.283409124248203,2.0243508874871643
Bleak House,3,5.77966847586915,1.7309667008948217
Bleak House,4,6.366436849053836,1.2322135836878392
Bleak House,5,6.835851547601584,1.965674050168696
Bleak House,6,8.009388293970956,1.9363356315094615
Bleak House,7,6.718497872964647,1.7016282822355875
Bleak House,8,6.337098430394602,1.9363356315094615
Bleak House,9,4.1953938682705,2.4644271673756784
Bleak House,10,8.332110899222531,1.4669209329617134
David Copperfield,1,4.849918675144167,2.277095963329883
David Copperfield,2,5.027354724234807,1.5969244418157622
David Copperfield,3,4.642909951205087,1.2124796687860417
David Copperfield,4,6.091971018778649,0.9167529203016412
David Copperfield,5,5.855389619991128,0.709744196362561
David Copperfield,6,7.39316871211001,1.5082064172704421
David Copperfield,7,6.387697767263049,1.1237616442407217
David Copperfield,8,6.831489915419649,1.7448394156266636
David Copperfield,9,7.068078310758858,1.537824569704856
David Copperfield,10,7.3046667060980655,1.7152658662092624
Great Expectations,1,3.0645252823335793,2.156517791271778
Great Expectations,2,3.121275750524942,2.6105215368026786
Great Expectations,3,3.0077748141422167,1.9295159185063278
Great Expectations,4,4.9372907326485445,1.0215084274445265
Great Expectations,5,4.937570942111237,1.362088535754824
Great Expectations,6,4.029511918274688,1.4755959137343928
Great Expectations,7,6.186152099886493,2.383654937570942
Great Expectations,8,4.597048808172532,1.9296254256526675
Great Expectations,9,3.6322360953461974,2.894438138479001
Great Expectations,10,6.526674233825199,1.5891032917139614
Our Mutual Friend,1,3.7140499015935498,2.3490572027172876
Our Mutual Friend,2,4.8250904704463204,1.396736715129198
Our Mutual Friend,3,5.206018665481556,1.872896958923243
Our Mutual Friend,4,5.904574457953716,1.7459763182121202
Our Mutual Friend,5,5.523634170343799,3.2062474207168026
Our Mutual Friend,6,5.872829433986222,1.4920161264721754
Our Mutual Friend,7,5.4601441224088125,2.317386749626996
Our Mutual Friend,8,7.555315704263356,1.0793308148947653
Our Mutual Friend,9,7.99974603980826,1.936446462017079
Our Mutual Friend,10,6.634710009206057,1.3332910066347101
A Tale of Two Cities,1,4.451150509241796,2.942285929837797
A Tale of Two Cities,2,3.1686156167483968,2.338740098076198
A Tale of Two Cities,3,3.4703885326291966,1.8106374952847981
A Tale of Two Cities,4,6.035458317615994,2.942285929837797
A Tale of Two Cities,5,5.054696341003395,2.6405130139569972
A Tale of Two Cities,6,5.960015088645794,3.3949453036589965
A Tale of Two Cities,7,3.847604677480196,2.5650697849867976
A Tale of Two Cities,8,5.130526633469142,3.62154821186057
A Tale of Two Cities,9,5.432322317790856,3.9233438961822844
A Tale of Two Cities,10,4.67783310698657,2.9425079221367136
