source,entity_label,entity_text,count
kaggle,GPE,us,65114
kaggle,OBJECT_SHAPE,light,37311
kaggle,GPE,ca,12655
kaggle,OBJECT_SHAPE,sphere,9853
kaggle,OBJECT_SHAPE,triangle,9090
kaggle,COLOR,orange,8798
kaggle,OBJECT_SHAPE,circle,8705
kaggle,COLOR,white,7910
kaggle,COLOR,red,7705
kaggle,OBJECT_SHAPE,fireball,6515
kaggle,OBJECT_SHAPE,disk,5847
kaggle,OBJECT_SHAPE,formation,4341
kaggle,GPE,wa,4268
kaggle,GPE,fl,4200
kaggle,OBJECT_SHAPE,oval,4046
kaggle,GPE,tx,3677
kaggle,COLOR,green,3623
kaggle,OBJECT_SHAPE,cigar,3570
kaggle,MOTION,hovering,3455
kaggle,COLOR,blue,3316
kaggle,GPE,ny,3219
kaggle,MOTION,formation,2861
kaggle,GPE,az,2689
kaggle,GPE,il,2645
kaggle,GPE,pa,2582
kaggle,GPE,oh,2425
kaggle,GPE,mi,2071
kaggle,GPE,gb,1905
kaggle,COLOR,black,1874
kaggle,GPE,nc,1869
kaggle,GPE,or,1845
kaggle,GPE,on,1584
kaggle,COLOR,yellow,1580
kaggle,GPE,mo,1576
kaggle,GPE,nj,1512
kaggle,GPE,co,1505
kaggle,COLOR,silver,1400
kaggle,GPE,va,1393
kaggle,GPE,in,1386
kaggle,MILITARY,aircraft,1370
kaggle,GPE,ma,1358
kaggle,GPE,ga,1347
kaggle,GPE,wi,1333
kaggle,GPE,tn,1193
kaggle,GPE,mn,1081
kaggle,GPE,sc,1076
kaggle,GPE,ct,968
kaggle,GPE,ky,914
kaggle,GPE,md,911
kaggle,GPE,nv,905
kaggle,LOC,moon,900
kaggle,GPE,nm,815
kaggle,GPE,bc,788
kaggle,GPE,ok,766
kaggle,GPE,ut,743
kaggle,GPE,ia,707
kaggle,GPE,al,691
kaggle,GPE,ar,666
kaggle,GPE,ks,653
kaggle,GPE,me,633
kaggle,GPE,la,598
kaggle,MOTION,turned,562
kaggle,GPE,id,554
kaggle,GPE,au,538
kaggle,GPE,nh,535
kaggle,GPE,seattle,525
kaggle,LOC,seattle,525
kaggle,GPE,mt,510
kaggle,GPE,wv,486
kaggle,LOC,phoenix,454
kaggle,GPE,phoenix,454
kaggle,GPE,ms,415
kaggle,GPE,ne,405
kaggle,MOTION,turn,403
kaggle,LOC,washington,378
kaggle,MOTION,disappear,377
kaggle,LOC,portland,374
kaggle,GPE,portland,374
kaggle,LOC,las vegas,368
kaggle,GPE,las vegas,368
kaggle,GPE,ak,354
kaggle,MOTION,hover,354
kaggle,GPE,hi,353
kaggle,GPE,los angeles,353
kaggle,LOC,los angeles,353
kaggle,MILITARY,military,348
kaggle,GPE,san diego,338
kaggle,LOC,san diego,338
kaggle,GPE,ab,333
kaggle,MILITARY,base,321
kaggle,GPE,vt,307
