record_id,date,city,state,country,object_shape,description_text,shape_count
7863,1906-11-11,wien (austria),,,,The oldest professional photo of a UFO object is from Wien observatory&#44 in 1906&#33,0.0
46694,1920-06-11,cicero,in,us,,((NUFORC Note: Probable hoax. Note date. PD)) Strange gathering of objects in the sky.,0.0
74515,1936-09-15,albany (canada),pe,ca,,I WAS PLAYING AT MY FRIEND&#39S HOME AFTER SUPPER AND HER MOTHER WORRIEDLY REMINDED ME IT WAS LATER THAN SHE REALIZED. HER OLDER DAUGHTER,0.0
46863,1942-06-01,hapeville,ga,us,,bright object approchjng Venus&#44 1940&#39s,0.0
56436,1942-07-15,oneida,tn,us,,Two children walking along highway saw unfamiliar object in sky.,0.0
15889,1943-01-18,fiji islands (s. pacific ocean),,,,Crew contingents of 2 USN vessels see reconnaissance plane fly into something invisible to witnesses.,0.0
1705,1943-10-15,owensboro,ky,us,,Low-flying silver object seen on a clear day near mid-day.,0.0
7407,1947-01-10,conroe,tx,us,,The date was early 1947 before Arnold&#39s &quot;flying saucers&quot;. I was ten years old&#44 ridding in the front seat of our car next to the passan,0.0
36770,1947-04-15,miami (north of),fl,us,,A GLOWING METALLIC OBJECT OF HUGE SIZE OVER THE ATLANTIC HEADING NORTH&#44 BEFORE ROSWELL.,0.0
48184,1947-06-13,oakmont,pa,us,,a very brillant blue-white object coming towards us lowering above us and hovering over us a few minutes before shooting straight up,0.0
48571,1947-06-15,gackle,nd,us,,Alien hawk sighted in North Dakota,0.0
55109,1947-07-01,wexford,pa,us,,I have told this to people over many years. While on school vacation at my uncles junk yard one evening I noticed on the horizon at dus,0.0
56445,1947-07-15,san jose,ca,us,,The object seen that summer evening was cheveron shaped&#44 with a blue glow visable around the edges&#44 moving silently &amp; slowly. N-S.,0.0
41489,1949-05-01,oak ridge (drive),wv,us,,log shape whooshing object observed near charleston w.v.,0.0
52594,1949-06-30,knoxville,tn,us,,We saw a small object the size of a car shaped like a jet that hovered near the ground in 1949 or 1950.,0.0
56447,1949-07-15,booneville,ms,us,,Returning home from a movie&#44 we witnessed a large craft about 75 yards behind our house&#44 hovering silently approx. 100 ft. high...,0.0
64740,1950-08-01,louisville,ky,us,,In 1953&#44 at the age of 3 years old I was Contacted by what is described as a &quot;GREY&quot;. This happened in Ky in 1953.,0.0
17645,1950-12-12,half moon bay,ca,us,,3 blips on a military radar screen flew off the radar screen when military aircraft approached them.,0.0
55113,1951-07-01,atlanta,ga,us,,As I stepped from my car I spied a really wierd trail forming in the sky over the East side of downtown Atlanta. Being a photograher&#44,0.0
46880,1952-06-01,dousman,wi,us,,Silver monkeys that were about 3-4 feet tall.,0.0
50571,1952-06-21,lansing (few miles northwest of&#44 in the country),mi,us,,It was like a star that moved&#44 it was 1952 before there was any space traffic or objects and was not an aircraft.,0.0
55114,1952-07-01,sebeka,mn,us,,Silver donut shape object sighted over rural Minnesota.,0.0
56453,1952-07-15,litchfield,pa,us,,We now cannot believe there was jets where we saw them,0.0
56455,1952-07-15,north bend,wa,us,,old sighting (1952 0r &#3953) of daylight object seen from approximately 50 &#39.,0.0
22826,1952-12-06,chicago,il,us,,Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second.,0.0
35979,1953-04-01,haverhill,ma,us,,Historical account&#44 Haverhill MA,0.0
35616,1953-04-10,chariton,ia,us,,&quot; Flying Wing Before It&#39s Time &quot;,0.0
57482,1953-07-17,dublin,in,us,,My brothers farmed after dark&#44 they told my mother&#44 my mother started yelling for the kids to run out to see it. It was located in our,0.0
25810,1954-02-01,fairbanks,ak,us,,RADAR INTERCEPT OF UFO BY USAF PILOT IN ALASKA 1954.,0.0
51164,1954-06-23,lorton,va,us,,My Mother heard what she believed was a UFO.,0.0
63343,1954-07-07,walnut creek,ca,us,,I have not reported this before. I feel it should be recorderd somewhere. My friend and I used to take time-lapse photos of the stars a,0.0
55648,1954-07-12,morroco (4 miles south of),in,,,I WAS 12&#44 RIDING WITH AN UNCLE AUNT AND GRANDMOTHER ON US 41 MY UNCLE EXITEDLEY STATED PLANE WAS CRASHING TO THE GROUND.A FLAMING OBJEC,0.0
56460,1954-07-15,kansas city,ks,us,,MISSOURI INVESTIGATORS GROUP Report: Two brothers witness chevron-shaped object streak across sky. PD)),0.0
69177,1954-08-24,parent (canada),qc,ca,,Capsule shaped copper coloured object hung motionless over the domestic site for approximately three or four minutes,0.0
74518,1954-09-15,palmer township,pa,,,Saturn-shaped object appearing over the Pennsylvania night sky in the fall of 1954,0.0
1711,1954-10-15,blanco,tx,us,,We saw a silver football&#44 motionless in the sky; stopped &#44 looked about 3-5 mins. and resumed the trip.,0.0
41490,1955-05-01,holbrook,ma,us,,I turned around and over the trees was a large yellow object shaped like a football without the tips on the ends.,0.0
46896,1955-06-01,clinton,tn,us,,Egg shaped craft landed on lonly country road&#44 seen by a family of five.,0.0
48588,1955-06-15,youngstown,pa,us,,In Retrospect...I definately saw a UFO&#33,0.0
7200,1955-10-09,west covina,ca,us,,Brilliant green meteor heading north west from view in California near L.A.,0.0
46897,1956-06-01,belton,mo,us,,THE EVENT WAS A PERSONAL CONTACT WITH AN ALIEN. SINCE I WAS ABOUT 6 YEARS OLD AND IT HAS BEEN A LONG TIME FORGIVE ME ANY DESCREPANCIES,0.0
53769,1956-06-06,upper glade,wv,,,Close up sighting in rural West Virginia around 1956/7,0.0
53770,1956-06-06,akron,oh,us,,Akron Ohio&#44 1956&#44 Bright object similar to flying wing. 10 pm. See full description.,0.0
48591,1956-06-15,san francisco,ca,us,,I saw a football shaped&#44 silver metalic object&#44very high&#44going very fast.,0.0
48596,1956-06-15,tulsa,ok,us,,Mysterous Flash seen over Tulsa and as far as Dallas and Kansas City&#33,0.0
52615,1956-06-30,cape girardeau,mo,us,,Angular UFO sighted as a child,0.0
55120,1956-07-01,beatrice (14 mi sw of),ne,us,,Large pale silver dome seen over a hill and also near the house of SE Nebraska farm.,0.0
55649,1956-07-12,wichita,ks,us,,Small&#44 Silent&#44 Metalic&#44 And Very &#44 Very Fast &#33,0.0
64748,1956-08-01,harvard,ma,us,,Lost time.,0.0
1714,1956-10-15,mechra bel ksire (morocco),,,,Air Defense radar reflected an object with great speed and maneuverability east of Giralter north of the African coast initially headin,0.0
