year,source,records
1906.0,kaggle,1
1910.0,kaggle,1
1916.0,kaggle,1
1920.0,kaggle,1
1925.0,kaggle,1
1929.0,kaggle,1
1930.0,kaggle,1
1931.0,kaggle,2
1933.0,kaggle,1
1934.0,kaggle,1
1936.0,kaggle,2
1937.0,kaggle,1
1939.0,kaggle,3
1941.0,kaggle,1
1942.0,kaggle,2
1943.0,kaggle,9
1944.0,kaggle,9
1945.0,kaggle,9
1946.0,kaggle,9
1947.0,kaggle,35
1948.0,kaggle,7
1949.0,kaggle,16
1950.0,kaggle,27
1951.0,kaggle,20
1952.0,kaggle,45
1953.0,kaggle,31
1954.0,kaggle,51
1955.0,kaggle,31
1956.0,kaggle,42
1957.0,kaggle,70
1958.0,kaggle,44
1959.0,kaggle,49
1960.0,kaggle,63
1961.0,kaggle,48
1962.0,kaggle,71
1963.0,kaggle,82
1964.0,kaggle,88
1965.0,kaggle,184
1965.0,pursue,1
1966.0,kaggle,185
1967.0,kaggle,184
1968.0,kaggle,214
1969.0,kaggle,155
1969.0,pursue,6
1970.0,kaggle,144
1971.0,kaggle,128
1972.0,kaggle,155
1972.0,pursue,2
1973.0,kaggle,222
1974.0,kaggle,269
1975.0,kaggle,311
1976.0,kaggle,273
1977.0,kaggle,264
1978.0,kaggle,330
1979.0,kaggle,244
1980.0,kaggle,238
1981.0,kaggle,163
1982.0,kaggle,180
1983.0,kaggle,148
1984.0,kaggle,185
1985.0,kaggle,215
1985.0,pursue,1
1986.0,kaggle,188
1987.0,kaggle,223
1988.0,kaggle,239
1989.0,kaggle,243
1990.0,kaggle,257
1991.0,kaggle,234
1992.0,kaggle,246
1993.0,kaggle,300
1994.0,kaggle,417
1994.0,pursue,1
1995.0,kaggle,1066
1996.0,kaggle,826
1996.0,pursue,1
1997.0,kaggle,1242
1998.0,kaggle,1739
1999.0,kaggle,2788
2000.0,kaggle,2752
2000.0,pursue,1
2001.0,kaggle,3109
2002.0,kaggle,3211
2003.0,kaggle,3935
2003.0,pursue,1
2004.0,kaggle,4220
2004.0,pursue,1
2005.0,kaggle,4039
2006.0,kaggle,3682
2007.0,kaggle,4243
2008.0,kaggle,4777
2009.0,kaggle,4508
2010.0,kaggle,4258
2011.0,kaggle,5077
2012.0,kaggle,7308
2013.0,kaggle,6992
2014.0,kaggle,2252
2016.0,pursue,1
2020.0,pursue,12
2022.0,pursue,5
2023.0,pursue,12
2024.0,pursue,8
2026.0,pursue,1
2045.0,pursue,1
2047.0,pursue,1
2048.0,pursue,2
2050.0,pursue,1
2052.0,pursue,1
2055.0,pursue,1
2057.0,pursue,1
2058.0,pursue,1
2063.0,pursue,1
2065.0,pursue,2
